Species,R2_9_S33_profile,R2_8_S32_profile,R2_7_S31_profile,R2_6_S30_profile,R2_5_S29_profile,R2_4_S28_profile,R2_3_S27_profile,R2_2_S26_profile,R2_1_S25_profile,R2_18_S42_profile,R2_17_S41_profile,R2_16_S40_profile,R2_15_S39_profile,R2_14_S38_profile,R2_13_S37_profile,R2_12_S36_profile,R2_11_S35_profile,R2_10_S34_profile,R1_9_S9_profile,R1_8_S8_profile,R1_7_S7_profile,R1_6_S6_profile,R1_5_S5_profile,R1_4_S4_profile,R1_3_S3_profile,R1_2_S2_profile,R1_24_S24_profile,R1_23_S23_profile,R1_22_S22_profile,R1_21_S21_profile,R1_20_S20_profile,R1_1_S1_profile,R1_19_S19_profile,R1_18_S18_profile,R1_17_S17_profile,R1_16_S16_profile,R1_15_S15_profile,R1_14_S14_profile,R1_13_S13_profile,R1_12_S12_profile,R1_11_S11_profile,R1_10_S10_profile
Clostridium_perfringens,0.05847,0.25552,0.03012,0.37497,0.01038,0.0039,0.09661,0.76521,0.16679,0,0,0.02665,0,0.04392,0.01194,3.21845,0.03705,0.68186,0.00028,0,0.11888,0.00574,0.52708,0.04294,0,0.05991,0.00603,0,0.05001,0.02382,0.41865,0.17709,0,0.04888,0.05028,0.83374,0.17646,0.11341,0,0.06524,0.06498,0.15933
Coprococcus_catus,1.50154,0.52028,0.21814,0,0.0201,0.01224,0.21002,0.24406,0.12825,0.04885,0.94396,0.00208,0.01332,0.1551,0.19609,0.13277,0.04732,0,0.01408,0.01176,0.00796,0,0.04105,0,0,0.23685,0.01095,0.00635,0.24144,0.37058,1.01327,0.14257,0,0.54431,0.4986,0.98661,1.03385,0.21022,0.04004,1.45464,1.98788,0.05723
Turicibacter_sanguinis,3.11435,0.81971,2.00238,1.90983,0.41113,0.14231,7.10934,2.08914,1.39297,5.06064,21.89552,5.12247,4.24354,16.51505,10.6711,1.78349,16.6427,3.56389,0.37675,0.49312,5.92602,0.70702,0.60066,0.1937,0,1.33031,0.10019,0.06079,1.40374,1.37074,3.7559,1.09106,0.99156,2.16869,8.50843,4.51991,1.8006,2.02495,0.17751,2.26567,2.05506,0.47388
Firmicutes_bacterium_CAG_555,0.38794,0.15678,0.59311,0,0.02281,0.0103,0.47892,0.18058,0.07081,0.00331,0.59735,0.02299,0.03581,0.52149,0.67263,0.25228,0.55204,0.09937,0.01907,0.02508,0.12899,0,0.06974,0,0,0.28398,0.0169,0.00473,0.1544,0.25549,1.14544,0.10613,0,0.67608,1.10315,1.00429,2.33748,0.32635,0.07175,1.65703,2.12867,0.00496
Phascolarctobacterium_succinatutens,0.48968,0.03065,1.49637,0,0.02375,0.00389,0.30124,0.09746,0.01432,0,0.38275,0,0.004,0.0656,0.09102,0.02971,0.0112,0,0.0241,0.05206,0.0155,0,0.00578,0,0,0.20553,0.00521,0.00225,0.17312,0.2325,0.54246,0.05083,0,0.31758,0.78341,0.31741,0.64181,0.18046,0.01411,0.86157,1.32651,0
Megasphaera_elsdenii,0.35739,0.34808,1.24102,0,0.04943,0,0.36018,0.09379,0,0.06301,1.07269,0.00242,0.00158,0.03365,0.0465,0.12398,0.06476,0.03098,0.04336,0.01255,0.01539,0,0,0,0,0.26828,0.00393,0,0.14845,0.27841,0.64251,0.09626,0,0.34335,0.71667,0.36178,0.96188,0.15399,0.02724,1.55946,1.78402,0.0592
Escherichia_coli,6.22501,37.51342,0.90361,0.01788,0.0237,0.028,0.39937,0.6845,0.4179,0.06706,0.27081,0.02626,0.31474,0.17375,0.16539,9.24497,0.23753,0.63361,0.01012,0.07562,0.07831,0,0.21387,0.02292,0,0.32286,0.00681,0.01779,0.21159,0.30841,1.62385,0.22901,0,0.35154,0.39631,2.39376,0.99521,0.31331,0.02933,1.45382,1.81752,0.09341
Glaesserella_parasuis,1.97022,0.03371,2.81305,0,0.0137,0.0099,0.05359,0.27511,0.20453,0,0.06479,0,0.00819,0.04116,0.03277,0.24449,0.01036,0.08222,0.006,0.02056,0.00537,0,0.14733,0,0,0.20958,0.02954,0.00573,0.14683,0.25985,0.89682,0.18588,0,0.25326,0.15561,0.81945,0.92162,0.20004,0.01481,0.86074,1.09893,0
Acinetobacter_lwoffii,0.51723,0.02085,0.41603,0.62794,0.172,0.15885,0.4076,2.48872,1.38635,0,0,0.00735,0.20472,0,0.00058,0.76826,0.02149,0,0.2214,0.23212,0.45522,0.46912,0.97692,0.01385,0.04534,0.14335,0.02805,0.31887,0.0739,0.24851,1.28583,0.28184,0,0,0,0.57085,0.17504,0.20772,0.03644,0.00866,0.21441,1.06292
Moraxella_pluranimalium,1.87459,0.47418,1.11139,0,0.00514,0.00428,0.1421,0.30189,0.11158,0,0.12836,0.0765,0.12355,0.06065,0.08905,1.73368,0.08535,5.29232,0.00861,0.00627,0.05333,0,0.02692,0.01334,0,0.10611,0.01558,0.00413,0.13319,0.20105,0.53765,0.11222,0,0.29636,0.25982,0.7406,0.63301,0.19919,0.04289,0.51609,0.49518,0.01079
Treponema_porcinum,0.26706,0.01946,0.12072,0.108,0.0708,0.02303,1.05202,0.34244,0.13709,0.101,2.09877,0.01427,0.02933,0.17573,0.25871,0.06757,0.47731,0.02491,0.05127,0.02231,0.24049,0.09105,0.16265,0.00116,0,0.20646,0.01183,0.00616,0.12423,0.19503,1.5785,0.11298,0,0.60812,2.98446,0.88984,1.37467,0.36632,0.06379,1.26734,1.55139,0.01094
