Genes,R1_8,R2_2,R2_3,R2_17,R2_11,R2_4,R2_13,R2_16,R1_19,R1_10,R1_13,R2_1,R1_22,R1_4,R1_20,R2_9,R1_14,R2_6,R1_1,R2_14,R1_3,R2_8,R1_6,R1_17,R1_7,R1_5,R2_15,R2_5,R2_18,R1_24,R1_21,R1_16,R2_10,R1_2,R1_11,R2_7,R1_23,R1_12,R1_18,R2_12,R1_9,R1_15
rep4_3_ORF(pMBB1)_EFU26268,0,0,81,0,293,0,0,59,0,0,57,0,56,0,92,48,80,0,0,0,0,36,0,117,153,0,127,72,0,0,67,95,0,0,60,107,65,39,0,403,0,50
gene:plasmid:93388,65,0,80,101,399,0,0,426,0,0,0,0,0,13,0,0,45,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,78,0,0,0,0
gene:plasmid:25354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
gene:plasmid:82858,1293,4983,5508,1743,6681,1419,6912,7341,0,1543,3885,7575,9054,510,5788,2315,4110,1093,2569,10672,3314,2302,3068,5252,2506,1893,2563,3915,2529,1758,2883,7367,5374,3352,2455,4747,9340,5194,1574,3770,3070,2200
gene:plasmid:139395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:174819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
gene:proph:184675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:130009,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
gene:vir:108946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:151643,38,36,27,0,0,44,0,0,0,22,19,30,24,15,17,0,15,21,23,0,33,3,20,24,43,20,0,12,0,27,13,28,0,20,7,0,21,8,26,0,9,6
gene:plasmid:14829,0,0,0,0,27,0,60,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:103517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:179382,0,52,6,0,0,0,6,0,0,0,2,2,0,0,53,127,11,0,9,7,0,6811,6,7,0,24,20,2,0,0,19,29,2,0,17,4,0,13,0,173,0,10
gene:plasmid:28574,7790,35606,3937,441,570,92048,824,709,0,18996,28029,25544,79495,26980,2298,125,23458,31036,24604,442,39242,258,4477,2214,23469,54013,1256,2829,1026,39968,46179,3115,138,20247,237,272,103913,929,15299,341,2675,634
gene:vir:107101,97,0,0,0,0,1401,0,0,0,0,0,0,198,0,0,0,0,0,253,0,128,0,0,0,0,0,0,0,0,0,442,0,0,22,0,0,0,0,303,0,0,0
IncX3_1__JN247852,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,8
gene:proph:176829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:20396,521,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,59,0,0,0,0,0,0,0,134,104,0,0,0,0,0,0,0,0,0,0,137,0
gene:plasmid:119731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
gene:vir:103523,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:176914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
